model_output,target,scores,scores_inserts
yahleka,Siyahleka.,"['11111111', '11111111', '11110101']","['[]', '[]', '[]']"
siyahleka,Siyahleka.,"['11111111', '11111111']","['[]', '[]']"
siyahleka,Siyahleka.,"['11111111', '11111111', '11110111']","['[]', '[]', '[]']"
siyahleka,Siyahleka.,"['11111111', '11111111']","['[]', '[]']"
siyahleka,Siyahleka.,"['11111111', '11111111']","['[]', '[]']"
siyahleka,Siyahleka.,"['11111111', '11111111']","['[]', '[]']"
siyahleka,Siyahleka.,['11111111'],['[]']
siashleka,Siyahleka.,"['11110101', '11110101']","['[]', '[]']"
siyaheka,Siyahleka.,['11111101'],['[]']
siyahleka,Siyahleka.,['11111111'],['[]']
siyahleka,Siyahleka.,['11111111'],['[]']
siyahleka,Siyahleka.,['11111101'],['[]']
balele impela,Balele impela.,"['1111111110111', '1111111110111']","['[]', '[]']"
bhalele imphela,Balele impela.,"['1111111110111', '0111111101111']","['[]', '[]']"
balele imphela,Balele impela.,"['1111111110111', '1111111110111', '1111111110111']","['[]', '[]', '[]']"
balele impela,Balele impela.,"['1111111111111', '1111111111111']","['[]', '[]']"
balele impela,Balele impela.,['1111111111111'],['[]']
balele impela,Balele impela.,['1111111111111'],['[]']
balele impela,Balele impela.,['1111111111111'],['[]']
balele imphela,Balele impela.,['0111111110111'],['[]']
bhale le imphila,Balele impela.,['1111111111011'],['[]']
bhalele impela,Balele impela.,['0111111111111'],['[]']
bhale le impela,Balele impela.,['0111111110111'],['[]']
bhalela impelwa,Balele impela.,['0111101110111'],"['[""12""]']"
uyamazina,Uyamazi na?,"['1111111111', '1111111111']","['[]', '[]']"
uyamazina,Uyamazi na?,"['1111111111', '1111111111']","['[]', '[""0""]']"
uyamazena,Uyamazi na?,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
uyamazina,Uyamazi na?,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
uyamazina,Uyamazi na?,"['1111111111', '1111111111']","['[]', '[]']"
uyamazinawo,Uyamazi na?,['1111111111'],['[]']
uyamazina,Uyamazi na?,['1111111111'],['[]']
uyamanzina,Uyamazi na?,['1111111111'],"['[""5""]']"
uyamazina,Uyamazi na?,['1111111111'],['[]']
uya mazi na,Uyamazi na?,['1111111111'],['[]']
uyamanzina,Uyamazi na?,['1111111111'],"['[""5""]']"
uya mazi na,Uyamazi na?,['1111111111'],['[]']
waletheni amabhantshi namabulukhwe,Waletheni amabhantshi namabhulukwe.,"['111111111111110001111111111011', '111111111111111001111110111011']","['[]', '[]']"
waletheni amabanjshi namabukulukwe,Waletheni amabhantshi namabhulukwe.,"['111111111111111111111111111111', '111111111111111111111111111011']","['[""25""]', '[""25""]']"
walethine amabhanshi namabhukluwile,Waletheni amabhantshi namabhulukwe.,"['111110111111111001111111100011', '111110101111111111111111100000', '111110101111111111111111100000']","['[]', '[""5"", ""7""]', '[]']"
waletheni amabhantshi namabhulukwe,Waletheni amabhantshi namabhulukwe.,"['111111111111111111111111111111', '111111111111111111111111111111', '111111111111111111111111111111']","['[]', '[]', '[]']"
waletheni amabhantshi namabhulakwa,Waletheni amabhantshi namabhulukwe.,['111111111111111111111111111111'],['[]']
walethe amabhathi namabhuluku,Waletheni amabhantshi namabhulukwe.,"['111111111111111111111111111111', '111111111111111111111111111111', '111111111111111111111111111111']","['[]', '[]', '[]']"
walatheni amabhantshi namabhulukhwe,Waletheni amabhantshi namabhulukwe.,['111111111111111111111111111011'],['[]']
walateni amaathishi namapulugwe,Waletheni amabhantshi namabhulukwe.,"['111111111111111001111111111111', '111111111111110100111111111111']","['[]', '[]']"
walethini amabanjhi namabkhulukhwee,Waletheni amabhantshi namabhulukwe.,['111111111111111111111111101011'],"['[""25""]']"
waletheni amabantshi namabulukwe,Waletheni amabhantshi namabhulukwe.,['111111111111111111111111111111'],['[]']
waletheni amabhantshi namabulukwe,Waletheni amabhantshi namabhulukwe.,['111111111111111111111111111111'],['[]']
walethugeni amabashi namabukhewe,Waletheni amabhantshi namabhulukwe.,['111100111111110111111111100000'],"['[""6""]']"
ngifike izolo,Ngifike izolo.,"['111101111111', '111111111111', '111111111111']","['[]', '[]', '[]']"
ingifike izolo,Ngifike izolo.,"['111101111111', '111111111111', '111101111111']","['[]', '[]', '[""0""]']"
ingifikile izolo,Ngifike izolo.,"['111101111111', '111101111111']","['[]', '[""0"", ""5""]']"
ngifike izolo,Ngifike izolo.,"['111111111111', '111111111111']","['[]', '[]']"
ngifike izolo,Ngifike izolo.,"['111111111111', '111111111111', '111111111111']","['[]', '[]', '[""0""]']"
raphela manje mfani,Ngifike izolo.,['111111111111'],['[]']
ifike izolo,Ngifike izolo.,['111111111111'],['[]']
ungifike izolo,Ngifike izolo.,"['111111111111', '111111111111', '111111111111']","['[]', '[]', '[]']"
ingifike izolo,Ngifike izolo.,['111101111111'],"['[""0""]']"
ngifike izolo,Ngifike izolo.,['111111111111'],['[]']
ngefike izolo,Ngifike izolo.,['101101111111'],['[]']
ngifikile izolo,Ngifike izolo.,['111101111111'],"['[""5"", ""6""]']"
umuntumbii unamanga nnjalo,"Umuntu mubi, unamanga njalo njalo.","['1111011111111111111111111111111', '1111111111111111111111111111111', '1111011110111111111111111111111']","['[]', '[]', '[""26""]']"
umuntumubi unamanga jnjalo,"Umuntu mubi, unamanga njalo njalo.","['1111011111111111111111111111111', '1111011111111111111111111111111']","['[]', '[]']"
umuntumubi unamanka njonjalo,"Umuntu mubi, unamanga njalo njalo.","['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
umuntumubi unamanga njalonjalo,"Umuntu mubi, unamanga njalo njalo.",['1111111111111111111111111111111'],['[]']
umuntumubi unamanga njalonjalo,"Umuntu mubi, unamanga njalo njalo.","['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[""7""]']"
umntu mubi unamanga njalonjalo,"Umuntu mubi, unamanga njalo njalo.","['1111111111111111111111111111111', '1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]', '[]']"
umuntumubi unamanga njalonjalo,"Umuntu mubi, unamanga njalo njalo.",['1111111111111111111111111111111'],['[]']
umuntu ubili unamanga nilako nishlalo,"Umuntu mubi, unamanga njalo njalo.","['1111011011111111111100111100111', '1111111001111111111100111100111', '1111011100111111111100000100000']","['[]', '[]', '[""7""]']"
umuntumumbi unamanga njalonjalo,"Umuntu mubi, unamanga njalo njalo.",['1111111111111111111111111111111'],"['[""9""]']"
umuntumubi unamanga njalonjalo,"Umuntu mubi, unamanga njalo njalo.",['1111111111111111111111111111111'],['[]']
umuntungubi unamanga njalonjalo,"Umuntu mubi, unamanga njalo njalo.",['1111111111111111111111111111111'],['[]']
umuthi ubigama ngalongalo,"Umuntu mubi, unamanga njalo njalo.",['1110001000010000101110111110111'],['[]']
iminwe mide,Iminwe mide.,"['11111111111', '11111111111', '11111111111']","['[]', '[]', '[]']"
imin we mide,Iminwe mide.,"['11111111111', '11111111111']","['[]', '[]']"
imi wemide,Iminwe mide.,"['11101111111', '11101111111']","['[]', '[]']"
imine midwe,Iminwe mide.,['11110111100'],['[]']
iminwe mide,Iminwe mide.,"['11111111111', '11111111111']","['[]', '[]']"
iminwe emide,Iminwe mide.,['11111111111'],['[]']
iminwe mide,Iminwe mide.,['11111111111'],['[]']
im wemidie,Iminwe mide.,['11101111111'],['[]']
imigweemidi,Iminwe mide.,['11111111110'],"['[""0""]']"
iminwe mide,Iminwe mide.,['11111111111'],['[]']
iminwe mile,Iminwe mide.,['11111111111'],['[]']
imi we imidi,Iminwe mide.,['11101111111'],['[]']
umkhamelo wawulukhuni,Umcamelo wawulukhuni.,"['1101111111111111111', '1101111111111111111', '1101111111111111111']","['[]', '[""2""]', '[]']"
umsamelo wawu lukhuni,Umcamelo wawulukhuni.,['1101111111111111111'],['[]']
umkhamelo wawululu khuni,Umcamelo wawulukhuni.,"['1101111111111111111', '1101111111111111111', '1101111111111111111']","['[""14"", ""15""]', '[]', '[""15""]']"
umcamelo wawu lukhuni,Umcamelo wawulukhuni.,['1111111111111111111'],['[]']
umcamelo wawu lukhuni,Umcamelo wawulukhuni.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
uncamelo wawu lukhuni,Umcamelo wawulukhuni.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
umcamelo wawulukhuni,Umcamelo wawulukhuni.,['1111111111111111111'],['[]']
umncomela waba lukhuni,Umcamelo wawulukhuni.,"['1100111011111111111', '1010111011111111111']","['[]', '[]']"
uncamelo webu lukhuni,Umcamelo wawulukhuni.,['1111111111111111111'],['[]']
umxamelo wabu lukhuni,Umcamelo wawulukhuni.,['1111111111111111111'],['[]']
umgcamelo wawu lukhuni,Umcamelo wawulukhuni.,['1111111111111111111'],['[]']
umkhakhelo wakhu khukhuny,Umcamelo wawulukhuni.,['1101011111100001111'],['[]']
uyathanda,Uyathanda.,['11111111'],['[]']
uyathanda,Uyathanda.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
uyathanda,Uyathanda.,"['11111111', '11111111']","['[]', '[]']"
uyathanda,Uyathanda.,"['11111111', '11111111']","['[]', '[]']"
uyathanda,Uyathanda.,"['11111111', '11111111']","['[]', '[]']"
uyathanda,Uyathanda.,['11111111'],['[]']
uyathanda,Uyathanda.,"['11111111', '11111111']","['[]', '[]']"
uyathanda,Uyathanda.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
uyathanda,Uyathanda.,"['11111111', '11111111']","['[]', '[]']"
uyathanda,Uyathanda.,"['11111111', '11111111']","['[]', '[]']"
uyathanda,Uyathanda.,['11111111'],['[]']
uyathanda,Uyathanda.,['11111111'],['[]']
niyafunda,Niyafunda.,"['111111111', '111111111']","['[]', '[]']"
miyafunda,Niyafunda.,"['111111111', '111111111']","['[]', '[]']"
ngiyafunda,Niyafunda.,"['011111111', '111111111']","['[""0""]', '[""0"", ""1""]']"
niyafunda,Niyafunda.,"['111111111', '111111111']","['[]', '[]']"
niyafunda,Niyafunda.,"['111111111', '111111111']","['[]', '[]']"
niyafunda,Niyafunda.,"['111111111', '111111111', '111111111']","['[]', '[]', '[]']"
niyafunda,Niyafunda.,['111111111'],['[]']
niyafunda,Niyafunda.,"['111111111', '111111111']","['[]', '[]']"
nayefunda,Niyafunda.,['101011111'],['[]']
niyafunda,Niyafunda.,['111111111'],['[]']
niyafunda,Niyafunda.,['111111111'],['[]']
ngiyafunda,Niyafunda.,['111111111'],['[]']
nebhala kunjalo,Nebala kunjalo.,['11111110111111'],['[]']
nebhala kunjalo,Nebala kunjalo.,"['11111111111111', '11011110111111']","['[]', '[]']"
nebhala kanjalo,Nebala kunjalo.,"['11011110011111', '11011110011111']","['[]', '[]']"
nebala kunjalo,Nebala kunjalo.,"['11111111111111', '11111111111111']","['[]', '[]']"
nebala kunjalo,Nebala kunjalo.,"['11111111111111', '11111111111111']","['[]', '[]']"
nebala kunjalo,Nebala kunjalo.,"['11111111111111', '11111111111111']","['[]', '[]']"
neba la kunjalo,Nebala kunjalo.,['11111111111111'],['[]']
nibhala kun jalo,Nebala kunjalo.,"['10001110111111', '11011110111111']","['[]', '[]']"
nebhala kunjalo,Nebala kunjalo.,['11011110111111'],['[]']
nebhala kunjalo,Nebala kunjalo.,"['11111111111111', '11111110111111']","['[]', '[]']"
nebhala kunjalo,Nebala kunjalo.,['11111110111111'],['[]']
nebhala ka tshalo,Nebala kunjalo.,"['11111110011111', '11011110001111']","['[""7"", ""8""]', '[]']"
akhunancala,Akunacala.,"['101111111', '101110111']","['[]', '[]']"
akunagala,Akunacala.,['101111111'],['[]']
akhunakhala,Akunacala.,['101110111'],['[]']
akunacala,Akunacala.,"['111111111', '111111111']","['[]', '[]']"
akunacala,Akunacala.,['111111111'],['[]']
akunatsala,Akunacala.,"['111111111', '111111111']","['[]', '[]']"
akunatala,Akunacala.,['111111111'],['[]']
akhunakhale,Akunacala.,"['101110110', '101110110']","['[]', '[]']"
akuqala,Akunacala.,['101001111'],['[]']
akunaxala,Akunacala.,['101111111'],['[]']
ukhunacala,Akunacala.,['001111111'],['[]']
akhonacala,Akunacala.,['101111111'],['[]']
uyafuna ukuthenga izonto,Uyafuna ukuthenga izinto?,['1111111110111111110101'],['[]']
uyafuna ukuthenga izinto,Uyafuna ukuthenga izinto?,['1111111111111111111101'],['[]']
uyafuna ukuthenga izinto,Uyafuna ukuthenga izinto?,['1111111111111111111111'],['[]']
uyafuna ukuthenga izinto,Uyafuna ukuthenga izinto?,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
uyafuna ukuthenga izinto,Uyafuna ukuthenga izinto?,['1111111111111111111111'],['[]']
yafuna ukuthenga izinto,Uyafuna ukuthenga izinto?,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
uyafuna ukuthenga izinto,Uyafuna ukuthenga izinto?,['1111111111111111111111'],['[]']
uyafuna ukuthenga izonto,Uyafuna ukuthenga izinto?,['1111111111111111110101'],['[]']
uyafuna ukuthenga izinto,Uyafuna ukuthenga izinto?,"['1111111111111111111111', '1111111110111111111111']","['[]', '[]']"
uyafuna ukuthenga izinto,Uyafuna ukuthenga izinto?,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
uyafuna ukuthenga izonto,Uyafuna ukuthenga izinto?,['1111111110111111110101'],['[]']
uyafunda ukuthenga izinto,Uyafuna ukuthenga izinto?,['1111111110111111111111'],['[]']
akathande,Akathande.,"['11111111', '10111111']","['[]', '[]']"
akathande,Akathande.,"['11111111', '10111111']","['[]', '[]']"
akathanda,Akathande.,"['10111110', '11111110', '10111110']","['[]', '[""8""]', '[]']"
akathande,Akathande.,['11111111'],['[]']
akathande,Akathande.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
akathandi,Akathande.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
akathande,Akathande.,['11111111'],['[]']
akathande,Akathande.,"['10111111', '11111111']","['[]', '[]']"
akhathanda,Akathande.,"['11111111', '11111110']","['[]', '[]']"
akathande,Akathande.,['11111111'],['[]']
akathande,Akathande.,['10111111'],['[]']
akathander,Akathande.,['10111111'],['[]']
imithi miningi,Imithi miningi.,"['111111111111', '111111111111', '111111111111']","['[]', '[]', '[]']"
imithi mimingi,Imithi miningi.,"['111111111111', '111111111111']","['[]', '[]']"
imithi mningi,Imithi miningi.,['111111101111'],['[]']
imithi miningi,Imithi miningi.,"['111111111111', '111111111111']","['[]', '[]']"
imithi miningi,Imithi miningi.,"['111111111111', '111111111111']","['[]', '[]']"
imithi miningi,Imithi miningi.,['111111111111'],['[]']
imithi miningi,Imithi miningi.,['111111111111'],['[]']
imithi miningi,Imithi miningi.,"['111111111111', '111111111111']","['[]', '[]']"
imithi mingi mingi,Imithi miningi.,['111111111111'],"['[""8""]']"
imithi mininge,Imithi miningi.,['111111111111'],['[]']
imithiminingi,Imithi miningi.,['111111111111'],['[]']
imithi imi ngini,Imithi miningi.,['111111110000'],"['[""6""]']"
aphela manje mfana,"Qaphela manje, mfana.","['011111111111111111', '011111111111111111']","['[]', '[]']"
paphela manje mvana,"Qaphela manje, mfana.","['011111111111111111', '011111111111111111']","['[""7""]', '[]']"
qophela manje mfana,"Qaphela manje, mfana.","['111111111111111111', '111111111111111111', '111111111111111111']","['[]', '[]', '[""0""]']"
qaphela manje mfana,"Qaphela manje, mfana.","['111111111111111111', '111111111111111111']","['[]', '[]']"
qaphela manje mfani,"Qaphela manje, mfana.","['011111111111111111', '111111111111111111']","['[]', '[]']"
bisa,"Qaphela manje, mfana.",['111111111111111111'],['[]']
aphelani manje umfana,"Qaphela manje, mfana.",['111111111111111111'],"['[""6"", ""13""]']"
nqwaphela namanje mfana,"Qaphela manje, mfana.",['001111111111111111'],['[]']
qaphile manje mfana,"Qaphela manje, mfana.",['111010111111111111'],['[]']
qaphela manje mfana,"Qaphela manje, mfana.",['111111111111111111'],['[]']
qaphela manje mfana,"Qaphela manje, mfana.",['111111111111111111'],['[]']
kwaqaphela manje umfana,"Qaphela manje, mfana.",['111111111111111111'],"['[""0"", ""13""]']"
amazinyo manichiniyane,Amazinyo mancinyane.,['1111111111011111'],"['[""10""]']"
amazinio manqinyane,Amazinyo mancinyane.,['1111111111011111'],['[]']
amazinyo macinyane,Amazinyo mancinyane.,"['1111111111111111', '1111111111011111']","['[]', '[]']"
amazinyo mancinyane,Amazinyo mancinyane.,"['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
amaz inyo mancinyane,Amazinyo mancinyane.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
amaz inyo mancinyane,Amazinyo mancinyane.,"['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
amazinyo mancinyane,Amazinyo mancinyane.,['1111111111111111'],['[]']
amaziniyo masingane,Amazinyo mancinyane.,"['1111111111010111', '1111111111000111', '1111111111010111']","['[]', '[""11"", ""12""]', '[]']"
amaziyo macinyane,Amazinyo mancinyane.,"['1111101111011111', '1111101111011111']","['[]', '[]']"
amazinio maxiniyane,Amazinyo mancinyane.,['1111111111011111'],['[]']
amazinyo macin yane,Amazinyo mancinyane.,['1111111111010111'],"['[""11"", ""12""]']"
ama izo macanganya,Amazinyo mancinyane.,['1110000111100000'],['[]']
niyobala,Niyobhala.,"['11111111', '11110111']","['[]', '[]']"
niyobhala,Niyobhala.,"['11110111', '11110111']","['[]', '[]']"
iyobhala,Niyobhala.,['11111111'],['[]']
niyobhala,Niyobhala.,['11111111'],['[]']
niyobhala,Niyobhala.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
niyobhaba,Niyobhala.,"['11111111', '11111111']","['[]', '[]']"
niyobhala,Niyobhala.,['11111111'],['[]']
niyobashla,Niyobhala.,['11111101'],['[]']
niyobala,Niyobhala.,['11111111'],['[]']
niyobhala,Niyobhala.,"['11111111', '11111111']","['[]', '[]']"
niyobahla,Niyobhala.,['11111101'],"['[""6""]']"
ingiyohlala,Niyobhala.,['11110111'],['[]']
bapi,Baphi?,['1111'],['[]']
bapi,Baphi?,"['0111', '1111', '0111']","['[]', '[]', '[]']"
ap,Baphi?,"['0111', '0111']","['[]', '[]']"
baphi,Baphi?,['1111'],['[]']
amaphi,Baphi?,['1111'],"['[""0""]']"
baphi,Baphi?,['1111'],['[]']
bapi,Baphi?,"['1111', '1111']","['[]', '[]']"
api,Baphi?,"['1111', '0111']","['[]', '[]']"
baphi,Baphi?,['1111'],['[]']
babi,Baphi?,['1111'],['[]']
babi,Baphi?,['0111'],['[]']
mbabi,Baphi?,"['1111', '0111']","['[]', '[""0""]']"
uvelaphi,Uvelaphi?,"['1111111', '1111111', '1111111']","['[""0""]', '[]', '[]']"
uvelaphi,Uvelaphi?,"['1111111', '1111111']","['[]', '[]']"
uvelaphi,Uvelaphi?,['1111111'],['[]']
uvelaphi,Uvelaphi?,['1111111'],['[]']
uvelaphe,Uvelaphi?,"['1111111', '1111111']","['[]', '[]']"
u vela pe,Uvelaphi?,"['1111111', '1111111']","['[]', '[]']"
kuvela p,Uvelaphi?,['1111111'],['[]']
uvelape,Uvelaphi?,['1111111'],['[]']
uvelaphe,Uvelaphi?,['1111111'],['[]']
uvelapi,Uvelaphi?,['1111111'],['[]']
uvelaphi,Uvelaphi?,['1111111'],['[]']
umvelape,Uvelaphi?,['0111111'],['[]']
niyokwazi ngomuso bantswana,"Niyokwazi ngomuso, bantwana.",['1111011111111111111101111'],['[]']
niyokwazi ngomuso bantwana,"Niyokwazi ngomuso, bantwana.","['1111011111111111111101111', '1111001111111111111100111', '1111011111111111111101111']","['[]', '[""5"", ""21""]', '[]']"
yokhwazi ngomuso bantwana,"Niyokwazi ngomuso, bantwana.","['1111011111111111111111111', '0111011111111111111111111']","['[""0""]', '[]']"
niyokwazi ngomusa bantwana,"Niyokwazi ngomuso, bantwana.","['1111111111111100111111111', '1111111111111110111111111']","['[]', '[]']"
niyokwazi ngomusa bantwana,"Niyokwazi ngomuso, bantwana.",['1111111111111110111111111'],['[]']
niyokwazi ngomuso bantwana,"Niyokwazi ngomuso, bantwana.",['1111111111111111111111111'],['[]']
niyokwazi ngomuso bantwana,"Niyokwazi ngomuso, bantwana.",['1111111111111111111111111'],"['[""12""]']"
niyakwazi ingumusu bathwala,"Niyokwazi ngomuso, bantwana.","['1111011111111110101101111', '1111011111101111111001111']","['[""10""]', '[""10""]']"
niyokwazi ngomuso batswana,"Niyokwazi ngomuso, bantwana.","['1111111111111111111001111', '1111011111111111101001111']","['[""20""]', '[]']"
niyokwazi ngomuso bantwana,"Niyokwazi ngomuso, bantwana.",['1111011111111111101111111'],['[]']
niyokwanzi ngomuso banthwana,"Niyokwazi ngomuso, bantwana.","['0011111001111111111111111', '1111011111111111101101111']","['[""7""]', '[""7""]']"
ngizokwazi ngimuzo bathwana,"Niyokwazi ngomuso, bantwana.",['0101011111101101101101111'],"['[""0""]']"
umfazi weziletha izinthi eziningi,Umfazi waziletha izinti eziningi.,['111111111111111111111111111111'],['[]']
umfazi wasiletha izinti eziningi,Umfazi waziletha izinti eziningi.,['111111111111111111110111111111'],['[]']
mfasiwasiletha izinti eziningi,Umfazi waziletha izinti eziningi.,"['111111111111111111110111111111', '111111111111111111111111111111', '111111111111111111110111111111']","['[]', '[]', '[]']"
umfazi weziletha izinti eziningi,Umfazi waziletha izinti eziningi.,"['111111111111111111111111111111', '111111111111111111111111111111']","['[]', '[]']"
umfazi waziletha izinto eziningi,Umfazi waziletha izinti eziningi.,"['111111111111111111111111111111', '111111111111111111111011111111']","['[]', '[]']"
umfazi weziletha ezinteziningi,Umfazi waziletha izinti eziningi.,"['111111111111111111111111111111', '111111111111111111111111111111']","['[]', '[]']"
umfazi waziletha izintoezinike,Umfazi waziletha izinti eziningi.,['111111111111111111111111111111'],['[]']
umfuzi waziletha zithiiziningi,Umfazi waziletha izinti eziningi.,"['111011111111111111110110111111', '111011111111111111110110111111']","['[]', '[]']"
umfazi waziletha izinti zinginingi,Umfazi waziletha izinti eziningi.,['111111111111011111111110111101'],"['[""26""]']"
umfaziwaziletha izinti eziningi,Umfazi waziletha izinti eziningi.,['111111111111111111111111111111'],['[]']
umfazi waziletha iziniziningi,Umfazi waziletha izinti eziningi.,['111111111111111111111110111111'],['[]']
mfwathiwaziletha inzitho izingini,Umfazi waziletha izinti eziningi.,['111101111111111111011010000101'],"['[""17""]']"
xese,Nxese.,"['0111', '0111']","['[]', '[]']"
ncese,Nxese.,['0111'],['[]']
cese,Nxese.,"['1111', '0111']","['[]', '[]']"
nxese,Nxese.,"['1111', '1111', '0111']","['[]', '[]', '[]']"
nxisi,Nxese.,['1111'],['[]']
ngese,Nxese.,"['0111', '1111', '0111']","['[]', '[]', '[]']"
nxese,Nxese.,"['1111', '1111']","['[]', '[]']"
ninxise,Nxese.,['0111'],"['[""0""]']"
cesa,Nxese.,['0110'],['[]']
uxese,Nxese.,['0111'],['[]']
mxese,Nxese.,['0111'],['[]']
enxezi,Nxese.,['1111'],['[]']
yali funa ikhathi,Ngiyalifuna ikati.,['1111111111110101'],['[]']
ngiyali funa ikhathi,Ngiyalifuna ikati.,['1111111111110101'],['[]']
engiya lifuna ikhathi,Ngiyalifuna ikati.,"['1111111111110111', '1111111111111111', '1111111111110101']","['[""0""]', '[""0""]', '[""0""]']"
ngiyali funa ikadi,Ngiyalifuna ikati.,"['1111111111111111', '0111111111111111']","['[]', '[]']"
ngiyal ifuna ikad,Ngiyalifuna ikati.,['1111111111111111'],['[]']
ngiyali funa igadi,Ngiyalifuna ikati.,['1111111111111111'],['[]']
ngiyali funa ikadi,Ngiyalifuna ikati.,['1111111111111111'],['[]']
ingiya lifuna ikhathi,Ngiyalifuna ikati.,"['1111111111111111', '1111111111110101']","['[]', '[""0""]']"
ningiyali funa ikhathi,Ngiyalifuna ikati.,['0111111111111111'],"['[""0""]']"
ngiya lifuna igade,Ngiyalifuna ikati.,['1111111111111111'],"['[""0""]']"
niya lifuna ikhathi,Ngiyalifuna ikati.,['0111111111110101'],['[]']
ingiya lifuna ikhathi,Ngiyalifuna ikati.,['1111111111110101'],"['[""0""]']"
anamanga,Banamanga.,"['11111111', '11111111']","['[]', '[]']"
banamanga,Banamanga.,['11111111'],['[]']
banamanga,Banamanga.,['11111111'],['[]']
banamanga,Banamanga.,"['11111111', '11111111']","['[]', '[]']"
banamanga,Banamanga.,['11111111'],['[]']
banamanga,Banamanga.,"['11111111', '11111111']","['[]', '[]']"
banamanga,Banamanga.,['11111111'],['[]']
banamanga,Banamanga.,['11111111'],['[]']
banamanga,Banamanga.,['11111111'],['[]']
bhanamanga,Banamanga.,['01111111'],['[]']
banamanga,Banamanga.,['11111111'],['[]']
banamangani,Banamanga.,['01111111'],"['[""8""]']"
umfazi ukhona na,Umfazi ukhona na?,"['111111111111111', '111111111111111', '111111111111111']","['[]', '[]', '[]']"
umfazi ukhona na,Umfazi ukhona na?,['111111111111111'],['[]']
umfazi ukhona na,Umfazi ukhona na?,['111111111111111'],['[]']
umfazi ukhona na,Umfazi ukhona na?,"['111111111111111', '111111111111111']","['[]', '[]']"
umfazi ukhona na,Umfazi ukhona na?,"['111111111111111', '111111111111111']","['[]', '[]']"
umfazi ukhona nam,Umfazi ukhona na?,['111111111111111'],['[]']
umfazi ukhona na,Umfazi ukhona na?,['111111111111111'],['[]']
umfazi khona na,Umfazi ukhona na?,['111111111111111'],['[]']
umvazi ikhona na,Umfazi ukhona na?,['111111111111111'],['[]']
umfazi ukhona na,Umfazi ukhona na?,['111111111111111'],['[]']
umvazi ukhonana,Umfazi ukhona na?,['111111111111111'],['[]']
mvukathe ukhona na,Umfazi ukhona na?,['011011111111111'],"['[""4""]']"
umthwana mfushane khakhulu,Umntwana mfushane kakhulu.,"['11111111111111111111111', '11101111111111111011111']","['[]', '[]']"
umthwana omfushane khakhulu,Umntwana mfushane kakhulu.,"['11101111111111111011111', '11100111111111111111111', '11101111111111111011111']","['[""9""]', '[""9""]', '[""9""]']"
umntwana omfushane kakhulu,Umntwana mfushane kakhulu.,['11101111111111111011111'],['[]']
umnta namfushane kakhulu,Umntwana mfushane kakhulu.,"['11110111111111111111111', '11110111111111111111111']","['[]', '[]']"
umntwana mfushane kakhulu,Umntwana mfushane kakhulu.,"['11111111111111111111111', '11111111111111111111111', '11111111111111111111111']","['[]', '[]', '[]']"
umntwana mfuthane kakhulu,Umntwana mfushane kakhulu.,['11111111111111111111111'],['[]']
umntwanamfushane kakhulu,Umntwana mfushane kakhulu.,['11111111111111111111111'],['[]']
mthwana bmfushane kakhulo,Umntwana mfushane kakhulu.,"['11101111101111111011111', '11101111111111111011111']","['[]', '[""10""]']"
amtwana mfushane kakhulu,Umntwana mfushane kakhulu.,['01101111111111111011111'],['[]']
umntwana omfushane kakhulu,Umntwana mfushane kakhulu.,['11111111111111111111111'],['[]']
umthwana mfushane kakhulu,Umntwana mfushane kakhulu.,['11111111111111111011111'],['[]']
umthwana ufushan kakolu,Umntwana mfushane kakhulu.,['11111111111111111111111'],['[]']
izithombi zibulethile bukhonamanje,"Izintombi zibulethile, bukhona manje.",['111111111111111111111111111111111'],['[]']
izinthombi zibulethile kukhonamanje,"Izintombi zibulethile, bukhona manje.",['111101111111111111111011111111111'],['[]']
izithombi sibulethile bukhonamanje,"Izintombi zibulethile, bukhona manje.","['111101111111011111111011111111111', '111111111111111111111111111111111', '111101111111011111111111111111111']","['[]', '[]', '[]']"
izintombi zibulethile bukhonamanje,"Izintombi zibulethile, bukhona manje.",['111111111111111111111111111111111'],['[]']
izintombi zibulethile bukhonamanje,"Izintombi zibulethile, bukhona manje.","['111111111111111111111111111111111', '111111111111111111111111111111111', '111111111111111111111111111111111']","['[]', '[]', '[]']"
